,source,tweets_text,bias,text
0,@TheIJR,"""we are lucky she will remain in our ranks.”

ttp://ijr.com/s/f6a2a",-0.5,`` lucky remain ranks. ” ttp : //ijr.com/s/f6a2a
1,@TheIJR,"how effective of a leader do you think he will be?

https://t.co/fledfoq7wr",-0.5,effective leader think ?
2,@TheIJR,"thoughts?

https://t.co/wg232qfkqq",-0.5,thoughts ?
3,@TheIJR,"“you’re saying that you’re keeping an eye on twitter because it might not be a suitable platform, so why use it?”

https://t.co/qngs422lt3",-0.5,"“ ’ saying ’ keeping eye twitter might suitable platform , use ? ”"
4,@TheIJR,"coincidence?

https://t.co/zzv21gursl",-0.5,coincidence ?
5,@TheIJR,"wasn't there a movie made that was similar to this motion?

https://t.co/dr7un3ngq9",-0.5,n't movie made similar motion ?
6,@TheIJR,"“i have not given up one scintilla of the fight i have in me.""

https://t.co/rjidfluved",-0.5,“ given one scintilla fight . ''
7,@TheIJR,"“the master troll got trolled.""

https://t.co/ubebrysjvp",-0.5,“ master troll got trolled . ''
8,@TheIJR,"twitter had a field day.

https://t.co/dsyov40kur",-0.5,twitter field day .
9,@TheIJR,"what do you think about this?

https://t.co/8izwco610d",-0.5,think ?
10,@TheIJR,"“too much liberty in this picture.""

https://t.co/36e2t4lcdo",-0.5,“ much liberty picture . ''
11,@TheIJR,"""we’re ushering in a new era and advancing a way for the federal government to work for tribal nations.""

https://t.co/bufooyx2vh",-0.5,`` ’ ushering new era advancing way federal government work tribal nations . ''
12,@TheIJR,"""it is incredibly hard to say goodbye to any one member of the cnn team, much less many.""

https://t.co/uqmwvnyhlx",-0.5,"`` incredibly hard say goodbye one member cnn team , much less many . ''"
13,@TheIJR,"""we can’t cede that territory.""

https://t.co/t0jm6tb0oz",-0.5,`` ’ cede territory . ''
14,@TheIJR,"what do you think of his note?

https://t.co/zfhsmqfhet",-0.5,think note ?
15,@TheIJR,"what does this make you think of?

https://t.co/cw6fhkz1k7",-0.5,make think ?
16,@TheIJR,"what do you think about this?

https://t.co/sdpgtzwdfc",-0.5,think ?
17,@TheIJR,"is this a good move?

https://t.co/tdwdwirxy2",-0.5,good move ?
18,@TheIJR,"breaking:

https://t.co/fledfp7iop",-0.5,breaking :
19,@TheIJR,"""he was loved by everybody.""

https://t.co/rh14ghsc8p",-0.5,`` loved everybody . ''
20,@TheIJR,"“we never gave up hope looking for her through the years.""

https://t.co/dxl9pkthrz",-0.5,“ never gave hope looking years . ''
21,@TheIJR,"“i hope other states quickly follow this example and protect the vital private information of our citizens.""

https://t.co/n6l3jpaafh",-0.5,“ hope states quickly follow example protect vital private information citizens . ''
22,@TheIJR,"“even though we knew the challenge of what he was fighting, it went a lot faster than we thought it was going to.""

https://t.co/awzdfpbwbi",-0.5,"“ even though knew challenge fighting , went lot faster thought going . ''"
23,@TheIJR,"“do i like the company being embroiled in controversy? of course not.""

https://t.co/1alpwjyrdp",-0.5,“ like company embroiled controversy ? course . ''
24,@TheIJR,"""there was something special about johnny from the very beginning."" https://t.co/bjxcbvsci2",-0.5,`` something special johnny beginning . ''
25,@TheIJR,another crypto billionaire was reported dead. https://t.co/zzv21gursl,-0.5,another crypto billionaire reported dead .
26,@TheIJR,"""... the height of hypocrisy and bad policy."" https://t.co/qtjxxc84jg",-0.5,`` ... height hypocrisy bad policy . ''
27,@TheIJR,"""don’t be a vassal of the ccp on one hand and then use your corporate power in the united states on the other to su… https://t.co/5tl07aijpy",-0.5,`` ’ vassal ccp one hand use corporate power united states su…
28,@TheIJR,"he was ""sentenced to 25 years, with the first 15 years to be served in the georgia department of corrections withou… https://t.co/l1kxqcr5m9",-0.5,"`` sentenced 25 years , first 15 years served georgia department corrections withou…"
29,@TheIJR,"thoughts?

https://t.co/cjepjj37ej",-0.5,thoughts ?
30,@TheIJR,"""valiantly, for years now, we have watched him fight and triumph over the secondary effects of his colorectal cance… https://t.co/o4x7rif7rn",-0.5,"`` valiantly , years , watched fight triumph secondary effects colorectal cance…"
31,@TheIJR,"""i want to correct something.""

https://t.co/ylti6lba8i",-0.5,`` want correct something . ''
32,@TheIJR,"what do you think this action would accomplish?

https://t.co/xqmocrxcun",-0.5,think action would accomplish ?
33,@TheIJR,"""did the balenciaga designers dream this nightmare up too?""

https://t.co/gdam103d6p",-0.5,`` balenciaga designers dream nightmare ? ''
34,@TheIJR,"what would you be thinking if this were to happen to you?

https://t.co/htmoyckbkm",-0.5,would thinking happen ?
35,@TheIJR,"this could have ended badly.

https://t.co/ibvppvmbaa",-0.5,could ended badly .
36,@TheIJR,"do you think it was simply a comedic gag?

https://t.co/vs5gz1e7lp",-0.5,think simply comedic gag ?
37,@TheIJR,"""he would go out of his way for people, just small kindnesses. i think that’s why this is such a devastating blow.”

https://t.co/194o7iffr1",-0.5,"`` would go way people , small kindnesses . think ’ devastating blow . ”"
38,@TheIJR,"is this a good move?

https://t.co/kkekcmiafk",-0.5,good move ?
39,@TheIJR,"""this is messed up.""

https://t.co/likqlkoahs",-0.5,`` messed . ''
40,@TheIJR,"“his level of trust has just diminished with a lot of people he considered friends.""

https://t.co/7kz0dtjir2",-0.5,“ level trust diminished lot people considered friends . ''
41,@TheIJR,"""there’s no reason to redact doe 183 from the documents.""

https://t.co/ygwjp3vdtv",-0.5,`` ’ reason redact doe 183 documents . ''
42,@TheIJR,"“here we are at the merch thing.""

https://t.co/jmmfstwjfh",-0.5,“ merch thing . ''
43,@TheIJR,"""i’m screwed.”

https://t.co/iy7swdkyb8",-0.5,`` ’ screwed . ”
44,@TheIJR,"""i just got them mixed up with another group. it was inaccurate.""

https://t.co/ylti6lba8i",-0.5,`` got mixed another group . inaccurate . ''
45,@TheIJR,"this is not the first time that this trend has emerged.

https://t.co/qhvxkfagew",-0.5,first time trend emerged .
46,@TheIJR,"“a large car fire involving multiple rental vehicles at nantucket memorial airport is now out.""

https://t.co/ibvppvmbaa",-0.5,“ large car fire involving multiple rental vehicles nantucket memorial airport . ''
